uniqueIdentifier,amount,date,bankName
BRI001,124270,2024-01-30,BRI
BCA002,112145,2024-01-30,BCA
BCA003,132733,2024-01-26,BCA
BCA004,109663,2024-01-05,BCA
BCA005,-124736,2024-01-17,BCA
BRI006,-127673,2024-01-13,BRI
BRI007,104707,2024-01-09,BRI
Mandiri008,-111530,2024-01-23,Mandiri
BNI009,112869,2024-01-29,BNI
BNI010,-122720,2024-01-15,BNI
BRI011,128149,2024-01-18,BRI
BCA012,125311,2024-01-25,BCA
BRI013,-111277,2024-01-25,BRI
BRI014,-121068,2024-01-03,BRI
BNI015,-114358,2024-01-19,BNI
BNI016,-118624,2024-01-09,BNI
BRI017,-112042,2024-01-23,BRI
BCA018,-116786,2024-01-19,BCA
Mandiri019,103059,2024-01-19,Mandiri
BCA020,-103818,2024-01-12,BCA
Mandiri021,119719,2024-01-04,Mandiri
BCA022,-100610,2024-01-04,BCA
Mandiri023,126682,2024-01-30,Mandiri
BNI024,108641,2024-01-14,BNI
BRI025,123371,2024-01-06,BRI
BRI026,114927,2024-01-31,BRI
Mandiri027,-115800,2024-01-01,Mandiri
Mandiri028,101276,2024-01-08,Mandiri
Mandiri029,103090,2024-01-26,Mandiri
Mandiri030,-119266,2024-01-11,Mandiri
BNI031,106836,2024-01-16,BNI
BCA032,102196,2024-01-27,BCA
BRI033,127334,2024-01-29,BRI
BNI034,-119900,2024-01-21,BNI
Mandiri035,-112046,2024-01-09,Mandiri
Mandiri036,109068,2024-01-18,Mandiri
BNI037,-122272,2024-01-18,BNI
BRI038,-116110,2024-01-28,BRI
BNI039,-109493,2024-01-13,BNI
BCA040,-132703,2024-01-12,BCA
BCA041,123106,2024-01-27,BCA
Mandiri042,120089,2024-01-14,Mandiri
Mandiri043,102859,2024-01-16,Mandiri
BRI044,101357,2024-01-20,BRI
BRI045,129808,2024-01-19,BRI
BNI046,130724,2024-01-15,BNI
Mandiri047,118970,2024-01-14,Mandiri
BRI048,-127972,2024-01-26,BRI
BCA049,-115122,2024-01-26,BCA
BCA050,-121635,2024-01-11,BCA
BCA051,125651,2024-01-06,BCA
Mandiri052,111247,2024-01-09,Mandiri
Mandiri053,-126443,2024-01-10,Mandiri
Mandiri054,120288,2024-01-20,Mandiri
BCA055,-131019,2024-01-31,BCA
BNI056,115392,2024-01-06,BNI
BCA057,111927,2024-01-29,BCA
BCA058,110929,2024-01-22,BCA
BCA059,-119124,2024-01-16,BCA
BCA060,-106238,2024-01-06,BCA
BNI061,-100583,2024-01-31,BNI
BCA062,-100248,2024-01-05,BCA
BRI063,115837,2024-01-11,BRI
BNI064,128109,2024-01-02,BNI
Mandiri065,-104541,2024-01-30,Mandiri
BNI066,111320,2024-01-07,BNI
Mandiri067,105418,2024-01-21,Mandiri
Mandiri068,-121728,2024-01-05,Mandiri
Mandiri069,-111110,2024-01-01,Mandiri
BCA070,117053,2024-01-17,BCA
BNI071,124434,2024-01-17,BNI
BNI072,-107103,2024-01-13,BNI
BNI073,-122651,2024-01-18,BNI
Mandiri074,-104648,2024-01-02,Mandiri
BNI075,-122395,2024-01-28,BNI
BCA076,-128280,2024-01-31,BCA
BRI077,-120342,2024-01-24,BRI
BCA078,118494,2024-01-14,BCA
BNI079,112374,2024-01-06,BNI
BNI080,126856,2024-01-31,BNI
BNI081,106485,2024-01-09,BNI
BRI082,112527,2024-01-15,BRI
Mandiri083,102683,2024-01-27,Mandiri
BNI084,124168,2024-01-19,BNI
BNI085,101425,2024-01-08,BNI
BCA086,114854,2024-01-04,BCA
BCA087,-103490,2024-01-08,BCA
BCA088,125398,2024-01-24,BCA
BCA089,118652,2024-01-10,BCA
Mandiri090,109684,2024-01-20,Mandiri
BNI091,125447,2024-01-31,BNI
Mandiri092,-125513,2024-01-18,Mandiri
BNI093,-125244,2024-01-24,BNI
BRI094,106587,2024-01-04,BRI
BNI095,103739,2024-01-21,BNI
BCA096,121778,2024-01-02,BCA
BNI097,-109514,2024-01-20,BNI
Mandiri098,-129819,2024-01-08,Mandiri
BNI099,-123403,2024-01-27,BNI
Mandiri100,-119571,2024-01-01,Mandiri
BNI101,-131946,2024-01-13,BNI
BRI102,-106207,2024-01-27,BRI
BRI103,-125650,2024-01-19,BRI
BRI104,-101761,2024-01-20,BRI
BRI105,120841,2024-01-15,BRI
Mandiri106,-105222,2024-01-28,Mandiri
BCA107,126398,2024-01-08,BCA
BRI108,112217,2024-01-02,BRI
Mandiri109,-107960,2024-01-13,Mandiri
BNI110,123313,2024-01-29,BNI
BNI111,-126756,2024-01-05,BNI
Mandiri112,-128805,2024-01-27,Mandiri
BRI113,-108523,2024-01-02,BRI
BCA114,128271,2024-01-08,BCA
BCA115,124066,2024-01-08,BCA
BCA116,105804,2024-01-06,BCA
BCA117,-111472,2024-01-18,BCA
BCA118,112746,2024-01-15,BCA
BCA119,124153,2024-01-06,BCA
BNI120,123259,2024-01-12,BNI
Mandiri121,-105265,2024-01-19,Mandiri
BNI122,119025,2024-01-21,BNI
BCA123,104615,2024-01-08,BCA
BCA124,105685,2024-01-21,BCA
Mandiri125,113577,2024-01-31,Mandiri
BNI126,115267,2024-01-04,BNI
BCA127,-124743,2024-01-24,BCA
BRI128,128988,2024-01-26,BRI
Mandiri129,100646,2024-01-08,Mandiri
BNI130,-111294,2024-01-25,BNI
BCA131,-105896,2024-01-12,BCA
Mandiri132,122654,2024-01-21,Mandiri
BRI133,-113859,2024-01-15,BRI
BRI134,131980,2024-01-09,BRI
Mandiri135,-100526,2024-01-21,Mandiri
BRI136,117150,2024-01-20,BRI
Mandiri137,-130083,2024-01-25,Mandiri
BNI138,108649,2024-01-30,BNI
BCA139,114923,2024-01-17,BCA
BCA140,105736,2024-01-05,BCA
BRI141,104430,2024-01-03,BRI
BRI142,-125748,2024-01-23,BRI
BCA143,107259,2024-01-27,BCA
BNI144,-113554,2024-01-10,BNI
BNI145,113931,2024-01-27,BNI
BRI146,100156,2024-01-16,BRI
Mandiri147,-110754,2024-01-24,Mandiri
Mandiri148,-100275,2024-01-02,Mandiri
BRI149,111778,2024-01-07,BRI
BNI150,116806,2024-01-20,BNI
Mandiri151,-120487,2024-01-17,Mandiri
BNI152,-125318,2024-01-29,BNI
BRI153,102095,2024-01-28,BRI
BCA154,104800,2024-01-31,BCA
BNI155,119662,2024-01-19,BNI
Mandiri156,-107003,2024-01-30,Mandiri
BRI157,-119845,2024-01-27,BRI
BCA158,110440,2024-01-30,BCA
Mandiri159,-113239,2024-01-08,Mandiri
BNI160,-128963,2024-01-04,BNI
Mandiri161,104937,2024-01-01,Mandiri
BNI162,113498,2024-01-13,BNI
Mandiri163,-118745,2024-01-12,Mandiri
Mandiri164,-100856,2024-01-20,Mandiri
BNI165,-103690,2024-01-11,BNI
BCA166,118876,2024-01-07,BCA
BRI167,-113244,2024-01-30,BRI
BNI168,-119950,2024-01-21,BNI
BCA169,-100322,2024-01-14,BCA
BRI170,125322,2024-01-25,BRI
Mandiri171,115673,2024-01-15,Mandiri
BNI172,-111227,2024-01-25,BNI
BCA173,-108207,2024-01-20,BCA
