trxID,amount,type,transactionTime
TRX000001,124270,CREDIT,2024-01-30T19:00:00
TRX000002,112145,CREDIT,2024-01-30T18:02:00
TRX000003,132733,CREDIT,2024-01-26T13:18:00
TRX000004,109663,CREDIT,2024-01-05T15:23:00
TRX000005,124736,DEBIT,2024-01-17T12:41:00
TRX000006,127673,DEBIT,2024-01-13T04:29:00
TRX000007,104707,CREDIT,2024-01-09T07:40:00
TRX000008,111530,DEBIT,2024-01-23T09:45:00
TRX000009,112869,CREDIT,2024-01-29T04:10:00
TRX000010,122720,DEBIT,2024-01-15T12:11:00
TRX000011,128149,CREDIT,2024-01-18T22:07:00
TRX000012,125311,CREDIT,2024-01-25T22:02:00
TRX000013,111277,DEBIT,2024-01-25T00:59:00
TRX000014,121068,DEBIT,2024-01-03T17:20:00
TRX000015,114358,DEBIT,2024-01-19T20:47:00
TRX000016,118624,DEBIT,2024-01-09T13:44:00
TRX000017,112042,DEBIT,2024-01-23T23:16:00
TRX000018,116786,DEBIT,2024-01-19T02:38:00
TRX000019,103059,CREDIT,2024-01-19T15:19:00
TRX000020,103818,DEBIT,2024-01-12T13:27:00
TRX000021,119719,CREDIT,2024-01-04T03:37:00
TRX000022,100610,DEBIT,2024-01-04T13:24:00
TRX000023,126682,CREDIT,2024-01-30T08:29:00
TRX000024,108641,CREDIT,2024-01-14T01:29:00
TRX000025,123371,CREDIT,2024-01-06T13:18:00
TRX000026,114927,CREDIT,2024-01-31T16:49:00
TRX000027,115800,DEBIT,2024-01-01T12:50:00
TRX000028,101276,CREDIT,2024-01-08T16:07:00
TRX000029,103090,CREDIT,2024-01-26T20:19:00
TRX000030,119266,DEBIT,2024-01-11T20:26:00
TRX000031,106836,CREDIT,2024-01-16T20:30:00
TRX000032,102196,CREDIT,2024-01-27T06:45:00
TRX000033,127334,CREDIT,2024-01-29T21:06:00
TRX000034,119900,DEBIT,2024-01-21T13:26:00
TRX000035,112046,DEBIT,2024-01-09T21:54:00
TRX000036,109068,CREDIT,2024-01-18T21:32:00
TRX000037,122272,DEBIT,2024-01-18T00:02:00
TRX000038,116110,DEBIT,2024-01-28T11:54:00
TRX000039,109493,DEBIT,2024-01-13T23:31:00
TRX000040,132703,DEBIT,2024-01-12T17:19:00
TRX000041,123106,CREDIT,2024-01-27T22:36:00
TRX000042,120089,CREDIT,2024-01-14T14:05:00
TRX000043,102859,CREDIT,2024-01-16T00:42:00
TRX000044,101357,CREDIT,2024-01-20T23:06:00
TRX000045,129808,CREDIT,2024-01-19T12:56:00
TRX000046,130724,CREDIT,2024-01-15T03:09:00
